"film","number","abstract","starring","name","subjects","cinematography","director","gross","producer","language"
"http://dbpedia.org/resource/Equinox_(1970_film)","4426490","Equinox is a 1970 American supernatural horror film directed by Jack Woods, and starring Edward Connell, Barbara Hewitt, Frank Bonner and Robin Christopher. Though uncredited, producer Dennis Muren also served as a second director. The film focuses on four young people picnicking in a California canyon, where they stumble upon an ancient book used to conjure demons; soon they unleash a plethora of evil creatures.","Barbara Hewitt-Edward Connell-Frank Bonner-Robin Christopher","Equinox","http://dbpedia.org/resource/Category:1970s_monster_movies","na","http://dbpedia.org/resource/Dennis_Muren","849600.0","http://dbpedia.org/resource/Jack_H._Harris","English"
"http://dbpedia.org/resource/Necropolis_(film)","43123344","Necropolis is a 1970 Italian-British fantasy horror film directed by . A dissertation on human evil through the ages, it is considered a cult film, and it was referred to as "a fusion between an Andy Warhol-style improvisation and an ambitious, esoteric subtext that summons all the Western counterculture of the time".","http://dbpedia.org/resource/Bruno_Corazzari-http://dbpedia.org/resource/Carmelo_Bene-http://dbpedia.org/resource/Nicoletta_Machiavelli-http://dbpedia.org/resource/Pierre_Clémenti-http://dbpedia.org/resource/Tina_Aumont-http://dbpedia.org/resource/Viva_(actress)","Necropolis","http://dbpedia.org/resource/Category:1970_directorial_debut_films-http://dbpedia.org/resource/Category:1970_films-http://dbpedia.org/resource/Category:1970_horror_films-http://dbpedia.org/resource/Category:1970s_avant-garde_and_experimental_films-http://dbpedia.org/resource/Category:1970s_fantasy_films-http://dbpedia.org/resource/Category:British_avant-garde_and_experimental_films-http://dbpedia.org/resource/Category:British_fantasy_films-http://dbpedia.org/resource/Category:British_films-http://dbpedia.org/resource/Category:British_horror_films-http://dbpedia.org/resource/Category:Cultural_depictions_of_Elizabeth_Báthory-http://dbpedia.org/resource/Category:Dark_fantasy_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Italian-language_films-http://dbpedia.org/resource/Category:Italian_avant-garde_and_experimental_films-http://dbpedia.org/resource/Category:Italian_fantasy_films-http://dbpedia.org/resource/Category:Italian_films-http://dbpedia.org/resource/Category:Italian_horror_films","na","http://dbpedia.org/resource/Franco_Brocani","na","http://dbpedia.org/resource/Alan_Power","German"
"http://dbpedia.org/resource/Ritual_of_Evil","41730793","Ritual of Evil is a 1970 American made-for-television drama horror film directed by Robert Day and starring Louis Jourdan. It was made as a sequel to Fear No Evil (1969), which also starred Louis Jourdan as Dr. Sorrell.","http://dbpedia.org/resource/Louis_Jourdan","Ritual of Evil","http://dbpedia.org/resource/Category:1970_films-http://dbpedia.org/resource/Category:1970_horror_films-http://dbpedia.org/resource/Category:1970_television_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_horror_drama_films-http://dbpedia.org/resource/Category:American_television_films-http://dbpedia.org/resource/Category:Films_about_cults-http://dbpedia.org/resource/Category:Films_scored_by_Billy_Goldenberg-http://dbpedia.org/resource/Category:Horror_television_films-http://dbpedia.org/resource/Category:Occult_detective_fiction","na","http://dbpedia.org/resource/Robert_Day_(director)","na","http://dbpedia.org/resource/David_Levinson_(producer)","English"
"http://dbpedia.org/resource/Ghosts_of_Chosun","23275083","Ghosts of Chosun (informal title: A Ghost Story of Joseon Dynasty) (Korean: 이조괴담; RR: Ijogoedam) is a 1970 South Korean film directed by Shin Sang-ok.","Choe Ji-suk-Jeon Young-ju-Jo Su-hyeon-Lee Gang-hui","or informal title:","http://dbpedia.org/resource/Category:1970_films-http://dbpedia.org/resource/Category:1970_horror_films-http://dbpedia.org/resource/Category:Films_directed_by_Shin_Sang-ok-http://dbpedia.org/resource/Category:Korean-language_films-http://dbpedia.org/resource/Category:South_Korean_films-http://dbpedia.org/resource/Category:South_Korean_horror_films","na","http://dbpedia.org/resource/Shin_Sang-ok","na","","Korean"
"http://dbpedia.org/resource/Count_Yorga,_Vampire","3374673","Count Yorga, Vampire (also known as The Loves Of Count Iorga, Vampire) is a 1970 American vampire horror film written and directed by Bob Kelljan and starring Robert Quarry, Roger Perry and Michael Murphy. It was followed by a sequel, The Return of Count Yorga.","http://dbpedia.org/resource/Donna_Anders-http://dbpedia.org/resource/Michael_Macready-http://dbpedia.org/resource/Michael_Murphy_(actor)-http://dbpedia.org/resource/Robert_Quarry-http://dbpedia.org/resource/Roger_Perry","Count Yorga, Vampire","http://dbpedia.org/resource/Category:1970_films-http://dbpedia.org/resource/Category:1970_horror_films-http://dbpedia.org/resource/Category:American_International_Pictures_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:Vampires_in_film","na","na","na","http://dbpedia.org/resource/Michael_Macready","English"
"http://dbpedia.org/resource/Hatchet_for_the_Honeymoon","21482902","Hatchet for the Honeymoon (Italian: Il rosso segno della follia, lit. 'The Red Sign of Madness') is a 1970 giallo film directed by Mario Bava and starring Stephen Forsyth, Dagmar Lassander, Laura Betti, and Femi Benussi. The story follows John Harrington, a hatchet-wielding madman who murders young brides in an effort to recall a childhood trauma.","-Stephen Forsyth-http://dbpedia.org/resource/Dagmar_Lassander-http://dbpedia.org/resource/Femi_Benussi-http://dbpedia.org/resource/Jesús_Puente-http://dbpedia.org/resource/Laura_Betti","Hatchet for the Honeymoon","http://dbpedia.org/resource/Category:1970_films-http://dbpedia.org/resource/Category:1970_horror_films-http://dbpedia.org/resource/Category:1970s_thriller_films-http://dbpedia.org/resource/Category:Films_directed_by_Mario_Bava-http://dbpedia.org/resource/Category:Films_shot_in_Barcelona-http://dbpedia.org/resource/Category:Films_shot_in_Rome-http://dbpedia.org/resource/Category:Giallo_films-http://dbpedia.org/resource/Category:Italian_films-http://dbpedia.org/resource/Category:Italian_serial_killer_films-http://dbpedia.org/resource/Category:Italian_thriller_films-http://dbpedia.org/resource/Category:Spanish_films-http://dbpedia.org/resource/Category:Spanish_horror_films-http://dbpedia.org/resource/Category:Spanish_thriller_films","http://dbpedia.org/resource/Mario_Bava","http://dbpedia.org/resource/Mario_Bava","na","","na"
"http://dbpedia.org/resource/Tam-Lin_(film)","9689210","Tam-Lin, also known as The Ballad of Tam-Lin, The Devil's Widow and The Devil's Woman, is a 1970 British folk horror film directed by Roddy McDowall. The film stars Ava Gardner and Ian McShane with Richard Wattis, Cyril Cusack, Stephanie Beacham, Sinéad Cusack and Joanna Lumley.","http://dbpedia.org/resource/Ava_Gardner-http://dbpedia.org/resource/Cyril_Cusack-http://dbpedia.org/resource/Ian_McShane-http://dbpedia.org/resource/Richard_Wattis-http://dbpedia.org/resource/Stephanie_Beacham","Tam-Lin or","http://dbpedia.org/resource/Category:1970_films-http://dbpedia.org/resource/Category:1970_horror_films-http://dbpedia.org/resource/Category:American_International_Pictures_films-http://dbpedia.org/resource/Category:British_films-http://dbpedia.org/resource/Category:British_horror_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_directed_by_Roddy_McDowall-http://dbpedia.org/resource/Category:Films_produced_by_Stanley_Mann-http://dbpedia.org/resource/Category:Films_scored_by_Stanley_Myers-http://dbpedia.org/resource/Category:Films_set_in_London-http://dbpedia.org/resource/Category:Films_set_in_Scotland-http://dbpedia.org/resource/Category:Films_shot_at_Pinewood_Studios-http://dbpedia.org/resource/Category:Folk_horror_films","http://dbpedia.org/resource/Billy_Williams_(cinematographer)","http://dbpedia.org/resource/Roddy_McDowall","na","http://dbpedia.org/resource/Alan_Ladd_Jr.-http://dbpedia.org/resource/Henry_T._Weinstein-http://dbpedia.org/resource/Stanley_Mann","English"
"http://dbpedia.org/resource/The_Wizard_of_Gore","9804175","The Wizard of Gore is a 1970 American fantasy splatter film directed by Herschell Gordon Lewis and starring Ray Sager, Judy Cler, and Wayne Ratay. The screenplay was written by Allen Kahn.","-Judy Cler-Ray Sager-Wayne Ratay","The Wizard of Gore","http://dbpedia.org/resource/Category:1970_films-http://dbpedia.org/resource/Category:1970_horror_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_independent_films-http://dbpedia.org/resource/Category:American_splatter_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_about_magic_and_magicians-http://dbpedia.org/resource/Category:Films_directed_by_Herschell_Gordon_Lewis-http://dbpedia.org/resource/Category:Films_shot_in_Chicago-http://dbpedia.org/resource/Category:Films_shot_in_Illinois-http://dbpedia.org/resource/Category:Something_Weird_Video","http://dbpedia.org/resource/Alex_Ameri","http://dbpedia.org/resource/Herschell_Gordon_Lewis","na","http://dbpedia.org/resource/Herschell_Gordon_Lewis","English"
"http://dbpedia.org/resource/Bloodthirsty_Butchers_(film)","15461990","Bloodthirsty Butchers is a 1970 horror film directed by Andy Milligan and starring Michael Cox, Linda Driver, Jane Helay, and Bernard Kaler. It is an adaptation of the notorious story of Sweeney Todd.","Bernard Kaler-Jane Helay-Linda Driver-Michael Cox","Bloodthirsty Butchers","http://dbpedia.org/resource/Category:1970_films-http://dbpedia.org/resource/Category:1970_horror_films-http://dbpedia.org/resource/Category:1970_independent_films-http://dbpedia.org/resource/Category:1970s_exploitation_films-http://dbpedia.org/resource/Category:American_exploitation_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_independent_films-http://dbpedia.org/resource/Category:American_serial_killer_films-http://dbpedia.org/resource/Category:American_slasher_films-http://dbpedia.org/resource/Category:American_splatter_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_about_cannibalism-http://dbpedia.org/resource/Category:Films_set_in_London-http://dbpedia.org/resource/Category:Sweeney_Todd","http://dbpedia.org/resource/Andy_Milligan","http://dbpedia.org/resource/Andy_Milligan","na","","English"
"http://dbpedia.org/resource/Necropolis_(film)","43123344","Necropolis is a 1970 Italian-British fantasy horror film directed by . A dissertation on human evil through the ages, it is considered a cult film, and it was referred to as "a fusion between an Andy Warhol-style improvisation and an ambitious, esoteric subtext that summons all the Western counterculture of the time".","http://dbpedia.org/resource/Bruno_Corazzari-http://dbpedia.org/resource/Carmelo_Bene-http://dbpedia.org/resource/Nicoletta_Machiavelli-http://dbpedia.org/resource/Pierre_Clémenti-http://dbpedia.org/resource/Tina_Aumont-http://dbpedia.org/resource/Viva_(actress)","Necropolis","http://dbpedia.org/resource/Category:1970_directorial_debut_films-http://dbpedia.org/resource/Category:1970_films-http://dbpedia.org/resource/Category:1970_horror_films-http://dbpedia.org/resource/Category:1970s_avant-garde_and_experimental_films-http://dbpedia.org/resource/Category:1970s_fantasy_films-http://dbpedia.org/resource/Category:British_avant-garde_and_experimental_films-http://dbpedia.org/resource/Category:British_fantasy_films-http://dbpedia.org/resource/Category:British_films-http://dbpedia.org/resource/Category:British_horror_films-http://dbpedia.org/resource/Category:Cultural_depictions_of_Elizabeth_Báthory-http://dbpedia.org/resource/Category:Dark_fantasy_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Italian-language_films-http://dbpedia.org/resource/Category:Italian_avant-garde_and_experimental_films-http://dbpedia.org/resource/Category:Italian_fantasy_films-http://dbpedia.org/resource/Category:Italian_films-http://dbpedia.org/resource/Category:Italian_horror_films","na","http://dbpedia.org/resource/Franco_Brocani","na","http://dbpedia.org/resource/Alan_Power","French"
