,,film,number,abstract,starring,name,subjects,cinematography,director,gross,producer,language
http://dbpedia.org/resource/The_Secret_of_the_Telegian,3459253,"The Secret of the Telegian (電送人間, Densō Ningen) (lit. 'The Electrically Transmitted Man') is a 1960 tokusatsu science fiction-horror and mystery film. Produced by Toho Company, Ltd., the film was directed by Jun Fukuda and written by Shinichi Sekizawa, with special effects by Eiji Tsuburaya. Herts-Lion International Corp. acquired the western hemisphere rights to the film in January 1964 and planned to release it theatrically in the United States. This proposed U.S. theatrical release was aborted, and the film was subsequently syndicated to television. Besides being in black and white, the TV prints were identical to Toho's uncut international English version, dubbing and all.",-http://dbpedia.org/resource/Kōji_Tsuruta-http://dbpedia.org/resource/Tadao_Nakamaru-http://dbpedia.org/resource/Yoshio_Tsuchiya-http://dbpedia.org/resource/Yumi_Shirakawa,The Secret of the Telegian,Category:1960 films-Category:1960 horror films-Category:1960s action films-Category:1960s crime films-Category:1960s mystery films-Category:1960s science fiction horror films-Category:1960s thriller films-Category:Films directed by Jun Fukuda-Category:Films set in Aichi Prefecture-Category:Films set in Nagano Prefecture-Category:Films set in Tokyo-Category:Films with screenplays by Shinichi Sekizawa-Category:Japanese films-Category:Japanese serial killer films-Category:Toho tokusatsu films,http://dbpedia.org/resource/Kazuo_Yamada,http://dbpedia.org/resource/Jun Fukuda,na,,na,,
http://dbpedia.org/resource/The_City_of_the_Dead_(film),2345652,"The City of the Dead (U.S. title: Horror Hotel) is a 1960 supernatural horror film directed by John Llewellyn Moxey and starring Christopher Lee, Venetia Stevenson, Betta St. John, Patricia Jessel and Valentine Dyall. The film marks the directorial debut of Moxey. It was produced in the United Kingdom but set in America, and the British actors were required to speak with North American accents throughout.",http://dbpedia.org/resource/Betta_St._John-http://dbpedia.org/resource/Christopher_Lee-http://dbpedia.org/resource/Dennis_Lotis-http://dbpedia.org/resource/Patricia_Jessel-http://dbpedia.org/resource/Valentine_Dyall-http://dbpedia.org/resource/Venetia_Stevenson,The City of the Dead,Category:1960 directorial debut films-Category:1960 films-Category:1960 horror films-Category:Amicus Productions films-Category:British black-and-white films-Category:British films-Category:British supernatural horror films-Category:English-language films-Category:Films about Satanism-Category:Films about witchcraft-Category:Films directed by John Llewellyn Moxey-Category:Films scored by Douglas Gamley-Category:Films set in Massachusetts-Category:Films set in hotels-Category:Films set in the 1690s-Category:Films shot at Shepperton Studios-Category:Gothic horror films,http://dbpedia.org/resource/Desmond_Dickinson,http://dbpedia.org/resource/John Llewellyn Moxey,na,Max Rosenberg-Milton Subotsky,English,Max Rosenberg-Milton Subotsky,
http://dbpedia.org/resource/The_Ghost_Cat_of_Otama_Pond,68244210,"The Ghost Cat of Otama Pond (Japanese: 怪猫 お玉が池, Hepburn: Kaibyō Otama-ga-ike) is a 1960 Japanese horror film directed and co-written by Yoshihiro Ishikawa, in his directorial debut. Produced by Shintoho, it belongs to the subgenre of ghost cat"" films (kaibyō eiga or bake neko mono)"," featuring a cat-like supernatural entity.""",-Namiji Matsuura-Noriko Kitazawa-Shōzaburō Date-Yōichi Numata,The Ghost Cat of Otama Pond,http://dbpedia.org/resource/Category:1960_films-http://dbpedia.org/resource/Category:1960_horror_films-http://dbpedia.org/resource/Category:Films_set_in_Japan-http://dbpedia.org/resource/Category:Japanese_films-http://dbpedia.org/resource/Category:Japanese_horror_films,na,na,na,,na,
http://dbpedia.org/resource/The_Playgirls_and_the_Vampire,39400786,"The Playgirls and the Vampire (Italian: L'ultima preda del vampiro, lit. 'The Vampire's Last Victim') is a 1960 Italian horror film directed and written by Piero Regnoli.",-Maria Giovannini-http://dbpedia.org/resource/Lyla_Rocco-http://dbpedia.org/resource/Walter_Brandi,The Playgirls and the Vampire,Category:1960 films-Category:1960 horror films-Category:Films directed by Piero Regnoli-Category:Films set in castles-Category:Italian black-and-white films-Category:Italian films-Category:Italian horror films,na,http://dbpedia.org/resource/Piero Regnoli,na,,na,,
http://dbpedia.org/resource/House_of_Usher_(film),5421694,"House of Usher (also known as The Fall of the House of Usher and The Mysterious House of Usher) is a 1960 American horror film directed by Roger Corman and written by Richard Matheson from the 1839 short story The Fall of the House of Usher"" by Edgar Allan Poe. The film was the first of eight Corman/Poe feature films and stars Vincent Price", Myrna Fahey," Mark Damon and Harry Ellerbe.""",-Harry Ellerbe-Mark Damon-Myrna Fahey-Vincent Price,House of Usher,1960 films-1960 horror films-American International Pictures films-American films-American horror films-American psychological horror films-English-language films-Films based on The Fall of the House of Usher-Films directed by Roger Corman-Films produced by Roger Corman-Films scored by Les Baxter-Films set in country houses-Films with screenplays by Richard Matheson-Gothic horror films-United States National Film Registry films,Floyd Crosby,Roger Corman,1450000.0,Roger Corman,English
http://dbpedia.org/resource/The_Two_Faces_of_Dr._Jekyll,4851941,"The Two Faces of Dr. Jekyll is a 1960 horror film by Hammer Film Productions. It was directed by Terence Fisher, and stars Paul Massie as Dr. Jekyll, and co-stars Dawn Addams, Christopher Lee and David Kossoff. The screenplay was written by Wolf Mankowitz, based on the 1886 novella Strange Case of Dr Jekyll and Mr Hyde by Robert Louis Stevenson. The film was released in North America to theaters by American International Pictures under the titles House of Fright and Jekyll's Inferno and on American TV under its original British title.",http://dbpedia.org/resource/Christopher_Lee-http://dbpedia.org/resource/David_Kossoff-http://dbpedia.org/resource/Dawn_Addams-http://dbpedia.org/resource/Francis_de_Wolff-http://dbpedia.org/resource/Paul_Massie,The Two Faces of Dr. Jekyll,Category:1960 films-Category:1960 horror films-Category:British films-Category:Dr. Jekyll and Mr. Hyde films-Category:English-language films-Category:Films based on horror novels-Category:Films directed by Terence Fisher-Category:Films scored by Monty Norman-Category:Films shot at Elstree Studios-Category:Films with screenplays by Wolf Mankowitz-Category:Hammer Film Productions horror films,http://dbpedia.org/resource/Jack_Asher,http://dbpedia.org/resource/Terence Fisher,na,Michael Carreras,English,Michael Carreras,
http://dbpedia.org/resource/Macumba_Love,44247546,"Macumba Love is a 1960 American adventure horror film directed and co-produced by Douglas Fowley and written by Norman Graham. The film stars Walter Reed, Ziva Rodann, William Wellman Jr., June Wilkinson and Ruth de Souza. The film centers on a writer who arrives on a South American island in order to finish his book on cult beliefs only to find that the local Voodoo Queen has other plans for him.",http://dbpedia.org/resource/June_Wilkinson-http://dbpedia.org/resource/Ruth_de_Souza-http://dbpedia.org/resource/Walter_Reed_(actor)-http://dbpedia.org/resource/William_Wellman_Jr.-http://dbpedia.org/resource/Ziva_Rodann,Macumba Love,Category:1960 films-Category:1960s adventure thriller films-Category:1960s horror thriller films-Category:American adventure thriller films,na,http://dbpedia.org/resource/Douglas Fowley,na,Douglas Fowley,English,Douglas Fowley,
http://dbpedia.org/resource/Psycho_(1960_film),23880,"Psycho is a 1960 American psychological horror thriller film produced and directed by Alfred Hitchcock. The screenplay, written by Joseph Stefano, was based on the 1959 novel of the same name by Robert Bloch. The film stars Anthony Perkins, Janet Leigh, Vera Miles, John Gavin and Martin Balsam. The plot centers on an encounter between on-the-run Marion Crane (Leigh) and shy motel proprietor Norman Bates (Perkins) and its aftermath, in which a private investigator (Balsam), Marion's lover Sam Loomis (Gavin) and her sister Lila (Miles) investigate the cause of her disappearance.",-Anthony Perkins-Janet Leigh-John Gavin-John McIntire-Martin Balsam-Vera Miles,Psycho,"Category:1960 films-Category:1960 horror films-Category:1960s horror thriller films-Category:1960s mystery films-Category:1960s psychological thriller films-Category:1960s serial killer films-Category:1960s slasher films-Category:American black-and-white films-Category:American films-Category:American horror thriller films-Category:American mystery films-Category:American psychological horror films-Category:American serial killer films-Category:American slasher films-Category:Articles containing video clips-Category:Censored films-Category:Cross-dressing in American films-Category:Dissociative identity disorder in films-Category:Edgar Award-winning works-Category:English-language films-Category:Films about psychopaths-Category:Films based on American horror novels-Category:Films based on thriller novels-Category:Films based on works by Robert Bloch-Category:Films directed by Alfred Hitchcock-Category:Films featuring a Best Supporting Actress Golden Globe-winning performance-Category:Films produced by Alfred Hitchcock-Category:Films scored by Bernard Herrmann-Category:Films set in 1959-Category:Films set in 1960-Category:Films set in California-Category:Films set in Maricopa County, Arizona-Category:Films set in Phoenix, Arizona-Category:Films shot in Arizona-Category:Films shot in California-Category:Films with screenplays by Joseph Stefano-Category:Films à clef-Category:LGBT-related horror films-Category:Matricide in fiction-Category:Paramount Pictures films-Category:Psycho (franchise) films-Category:United States National Film Registry films",http://dbpedia.org/resource/John_L._Russell_(cinematographer),http://dbpedia.org/resource/Alfred Hitchcock,5.0E7,Alfred Hitchcock,English,Alfred Hitchcock,
http://dbpedia.org/resource/Black_Sunday_(1960_film),2483209,"Black Sunday (Italian: La maschera del demonio, lit. 'The mask of the demon') is a 1960 Italian gothic horror film directed by Mario Bava in his official directorial debut, and starring Barbara Steele, John Richardson, Andrea Checchi, Ivo Garrani, Arturo Dominici and Enrico Oliveri. Loosely based on Nikolai Gogol's short story Viy""", the film takes place in Moldavia and tells the story of a witch who is put to death by her brother," only to return two centuries later to seek revenge upon his descendants.""",-Andrea Checchi-Arturo Dominici-Barbara Steele-Enrico Olivieri-Ivo Garrani-John Richardson,Black Sunday,1960 directorial debut films-1960 films-1960 horror films-Censored films-Films about witchcraft-Films based on short fiction-Films based on works by Nikolai Gogol-Films directed by Mario Bava-Films set in Moldova-Films set in Romania-Films set in the 1630s-Films set in the 19th century-Gothic horror films-Inquisition in fiction-Italian black-and-white films-Italian films-Italian films about revenge-Italian supernatural horror films-Period horror films-Vampires in film,na,Mario Bava,na,Mario Bava,na
http://dbpedia.org/resource/The_Vampire_and_the_Ballerina,49174374,The Vampire and the Ballerina (Italian: L'amante del vampiro) is a 1960 Italian horror film directed and co-written by Renato Polselli.,-Maria Luisa Rolando-Tina Gloriani-http://dbpedia.org/resource/Hélène_Rémy-http://dbpedia.org/resource/Isarco_Ravaioli-http://dbpedia.org/resource/Walter_Brandi,The Vampire and the Ballerina,Category:1960 films-Category:1960 horror films-Category:Films directed by Renato Polselli-Category:Films shot in Italy-Category:Films with screenplays by Ernesto Gastaldi-Category:Gothic horror films-Category:Italian black-and-white films-Category:Italian films-Category:Italian horror films-Category:Vampires in film,na,http://dbpedia.org/resource/Renato Polselli,na,,na,,
http://dbpedia.org/resource/Circus_of_Horrors,7299774,"Circus of Horrors is a 1960 British horror film directed by Sidney Hayers. It stars Anton Diffring, Yvonne Monlaur, Erika Remberg, Kenneth Griffith, Jane Hylton, Conrad Phillips, Yvonne Romain and Donald Pleasence.",http://dbpedia.org/resource/Anton_Diffring-http://dbpedia.org/resource/Donald_Pleasence-http://dbpedia.org/resource/Erika_Remberg-http://dbpedia.org/resource/Jack_Gwillim-http://dbpedia.org/resource/Jane_Hylton-http://dbpedia.org/resource/Yvonne_Monlaur,Circus of Horrors,Category:1960 films-Category:1960 horror films-Category:1960s crime thriller films-Category:American International Pictures films-Category:British crime thriller films-Category:British films-Category:British horror films-Category:Circus films-Category:English-language films-Category:Films directed by Sidney Hayers-Category:Films set in England-Category:Films set in France-Category:Films set in the 1940s-Category:Films set in the 1950s-Category:Works about plastic surgery,http://dbpedia.org/resource/Douglas_Slocombe,http://dbpedia.org/resource/Sidney Hayers,na,Julian Wintle-Leslie Parkyn,English,Julian Wintle-Leslie Parkyn,
http://dbpedia.org/resource/Mill_of_the_Stone_Women,25241827,"Mill of the Stone Women (Italian: Il mulino delle donne di pietra) is a 1960 italian-W.German-Spanish-French international co-production horror film directed by Giorgio Ferroni. The film stars Pierre Brice and Scilla Gabel. Released on 30 August 1960 in Italy, the film became the first Italian horror film shot in color.",-http://dbpedia.org/resource/Dany_Carrel-http://dbpedia.org/resource/Pierre_Brice-http://dbpedia.org/resource/Scilla_Gabel,Mill of the Stone Women,Category:1960 films-Category:1960 horror films-Category:Films directed by Giorgio Ferroni-Category:French films-Category:French horror films-Category:Gothic horror films-Category:Italian-language films-Category:Italian films-Category:Italian horror films,http://dbpedia.org/resource/Pier_Ludovico_Pavoni,http://dbpedia.org/resource/Giorgio Ferroni,na,,na,,
