,,film,number,abstract,starring,name,subjects,cinematography,director,gross,producer,language
http://dbpedia.org/resource/Atom_Age_Vampire,6500990,"Atom Age Vampire (Italian: Seddok, l'erede di Satana) is a 1960 Italian horror film directed by Anton Giulio Majano. Shot in black-and-white, the film was produced by Elio Ippolito Mellino and stars Alberto Lupo, , and Sergio Fantoni.",-http://dbpedia.org/resource/Alberto_Lupo-http://dbpedia.org/resource/Sergio_Fantoni-http://dbpedia.org/resource/Susanne_Loret,Atom Age Vampire,Category:1960 films-Category:1960 horror films-Category:Films directed by Anton Giulio Majano-Category:Films scored by Armando Trovajoli-Category:Italian-language films-Category:Italian black-and-white films-Category:Italian films-Category:Italian science fiction horror films-Category:Mad scientist films,na,http://dbpedia.org/resource/Anton Giulio Majano,na,Elio Ippolito Mellino,na,Elio Ippolito Mellino,
http://dbpedia.org/resource/Village_of_the_Damned_(1960_film),1721169,"Village of the Damned is a 1960 science fiction horror film by Anglo-German director Wolf Rilla. The film is adapted from the novel The Midwich Cuckoos (1957) by John Wyndham. The lead role of Professor Gordon Zellaby was played by George Sanders. A sequel, Children of the Damned (1964), followed, as did a remake, also called Village of the Damned (1995).",-Barbara Shelley-George Sanders-Michael Gwynn,Village of the Damned,Category:1960 films-Category:1960 horror films-Category:1960s science fiction horror films-Category:British black-and-white films-Category:British films-Category:British science fiction horror films-Category:English-language films-Category:Films based on British novels-Category:Films based on science fiction novels-Category:Films directed by Wolf Rilla-Category:Films scored by Ron Goodwin-Category:Films with screenplays by Stirling Silliphant-Category:Metro-Goldwyn-Mayer films-Category:Village of the Damned films,http://dbpedia.org/resource/Geoffrey_Faithfull,http://dbpedia.org/resource/Wolf Rilla,na,Ronald Kinnoch,English,Ronald Kinnoch,
http://dbpedia.org/resource/Macumba_Love,44247546,"Macumba Love is a 1960 American adventure horror film directed and co-produced by Douglas Fowley and written by Norman Graham. The film stars Walter Reed, Ziva Rodann, William Wellman Jr., June Wilkinson and Ruth de Souza. The film centers on a writer who arrives on a South American island in order to finish his book on cult beliefs only to find that the local Voodoo Queen has other plans for him.",http://dbpedia.org/resource/June_Wilkinson-http://dbpedia.org/resource/Ruth_de_Souza-http://dbpedia.org/resource/Walter_Reed_(actor)-http://dbpedia.org/resource/William_Wellman_Jr.-http://dbpedia.org/resource/Ziva_Rodann,Macumba Love,Category:1960 horror films-Category:American films-Category:American horror thriller films-Category:English-language films-Category:Films about Voodoo-Category:Films set on islands-Category:Films shot in Brazil-Category:United Artists films,na,http://dbpedia.org/resource/Douglas Fowley,na,Douglas Fowley,English,Douglas Fowley,
http://dbpedia.org/resource/Blood_and_Roses,8981929,"Blood and Roses (French: Et mourir de plaisir, lit. 'And die of pleasure') is a 1960 erotic horror film directed by Roger Vadim. It is based on the novella Carmilla (1872) by Irish writer Sheridan Le Fanu, shifting the book's setting in 19th-century Styria to the film's 20th-century Italy.",-http://dbpedia.org/resource/Annette_Stroyberg-http://dbpedia.org/resource/Elsa_Martinelli-http://dbpedia.org/resource/Mel_Ferrer-http://dbpedia.org/resource/René-Jean_Chauffard,Blood and Roses,Category:1960 films-Category:1960 horror films-Category:Films based on Irish novels-Category:Films based on works by Sheridan Le Fanu-Category:Films directed by Roger Vadim-Category:Films set in Italy-Category:Films shot in Italy-Category:French-language films-Category:French erotic films-Category:French films-Category:French horror films-Category:Italian erotic horror films-Category:Italian films-Category:Paramount Pictures films-Category:Vampires in film,http://dbpedia.org/resource/Claude_Renoir,http://dbpedia.org/resource/Roger Vadim,na,,na,,
http://dbpedia.org/resource/The_Leech_Woman,5667757,"The Leech Woman is a 1960 black-and-white US horror film from Universal-International, produced by Joseph Gershenon, directed by Edward Dein, and starring Coleen Gray, Grant Williams, Gloria Talbott, and Phillip Terry. The Leech Woman's 1960 US theatrical release from Universal was as a double feature with the British horror film The Brides of Dracula. Rank Film Distributors handled the film's UK release.",http://dbpedia.org/resource/Arthur_Batanides-http://dbpedia.org/resource/Coleen_Gray-http://dbpedia.org/resource/Estelle_Hemsley-http://dbpedia.org/resource/Gloria_Talbott-http://dbpedia.org/resource/Grant_Williams_(actor)-http://dbpedia.org/resource/John_van_Dreelen-http://dbpedia.org/resource/Kim_Hamilton-http://dbpedia.org/resource/Phillip_Terry,The Leech Woman,Category:1960 films-Category:1960 horror films-Category:1960s fantasy films-Category:1960s science fiction horror films-Category:American black-and-white films-Category:American fantasy films-Category:American films-Category:American science fiction horror films-Category:English-language films-Category:Films with screenplays by David Duncan (writer)-Category:Universal Pictures films,http://dbpedia.org/resource/Ellis_W._Carter,na,na,,na,,
http://dbpedia.org/resource/The_Housemaid_(1960_film),3611280,"The Housemaid (Hangul: 하녀, Hanja: 下女, Hanyeo) is a 1960 black-and-white South Korean film. It was directed by Kim Ki-young and starred , Ju Jeung-nyeo and Kim Jin-kyu. It has been described in Koreanfilm.org as a consensus pick as one of the top three Korean films of all time"". This was the first film in Kim's Housemaid trilogy followed by Woman of Fire and Woman of Fire '82. The film was remade in 2010 by director Im Sang-soo.""",http://dbpedia.org/resource/Ju_Jeung-ryu-http://dbpedia.org/resource/Kim_Jin-kyu_(actor)-http://dbpedia.org/resource/Lee_Eun-shim-http://dbpedia.org/resource/Um_Aing-ran,The Housemaid,Category:1960 horror films-Category:1960s psychological horror films-Category:1960s psychological thriller films-Category:Films directed by Kim Ki-young-Category:Korean-language films-Category:Maids in films-Category:South Korean films-Category:South Korean horror films,na,http://dbpedia.org/resource/Kim Ki-young,35687.0,Kim Ki-young,Korean,Kim Ki-young,
http://dbpedia.org/resource/The_Brides_of_Dracula,2093556,"The Brides of Dracula is a 1960 British supernatural horror film produced by Hammer Film Productions. Directed by Terence Fisher, the film stars Peter Cushing, David Peel, Freda Jackson, Yvonne Monlaur, Andrée Melly, and Martita Hunt. The film is a sequel to the 1958 film Dracula (also known as Horror of Dracula), though the character of Count Dracula does not appear in the film, and is instead mentioned only twice. Christopher Lee would reprise his role as Dracula in the film Dracula: Prince of Darkness (1966).",http://dbpedia.org/resource/Freda_Jackson-http://dbpedia.org/resource/Martita_Hunt-http://dbpedia.org/resource/Peter_Cushing-http://dbpedia.org/resource/Yvonne_Monlaur,The Brides of Dracula,Category:1960 films-Category:1960 horror films-Category:British films-Category:British sequel films-Category:Dracula (Hammer film series)-Category:Dracula films-Category:English-language films-Category:Films directed by Terence Fisher-Category:Films scored by Malcolm Williamson-Category:Films set in Transylvania-Category:Films set in castles-Category:Films with screenplays by Jimmy Sangster-Category:Gothic horror films-Category:Hammer Film Productions horror films-Category:Universal Pictures films-Category:Vampires in film,http://dbpedia.org/resource/Jack_Asher,http://dbpedia.org/resource/Terence Fisher,na,Anthony Hinds,English,Anthony Hinds,
http://dbpedia.org/resource/Peeping_Tom_(1960_film),413949,"Peeping Tom is a 1960 colour British psychological horror-thriller film directed by Michael Powell, written by Leo Marks, and starring Carl Boehm, Anna Massey, and Moira Shearer. The film revolves around a serial killer who murders women while using a portable film camera to record their dying expressions of terror. Its title derives from the slang expression 'Peeping Tom', which describes a voyeur. The music score was written by Brian Easdale and performed by Australian virtuoso Gordon Watson.",http://dbpedia.org/resource/Anna_Massey-http://dbpedia.org/resource/Karlheinz_Böhm-http://dbpedia.org/resource/Maxine_Audley-http://dbpedia.org/resource/Moira_Shearer,Peeping Tom,Category:1960 films-Category:1960 horror films-Category:1960s horror thriller films-Category:1960s psychological thriller films-Category:1960s serial killer films-Category:1960s slasher films-Category:British films-Category:British horror thriller films-Category:British serial killer films-Category:British slasher films-Category:Censored films-Category:English-language films-Category:Films about blind people-Category:Films about filmmaking-Category:Films about photographers-Category:Films about psychopaths-Category:Films about security and surveillance-Category:Films about snuff films-Category:Films by Powell and Pressburger-Category:Films directed by Michael Powell-Category:Films set in London-Category:Films shot at Pinewood Studios-Category:Films shot in London,http://dbpedia.org/resource/Otto_Heller,http://dbpedia.org/resource/Michael Powell,na,Michael Powell,English,Michael Powell,
http://dbpedia.org/resource/Eyes_Without_a_Face,2491582,"Eyes Without a Face (French: Les Yeux sans visage) is a 1960 French-language horror film co-written and directed by Georges Franju. The film, a French-Italian co-production, stars Pierre Brasseur and Alida Valli. Based on the novel of the same name by Jean Redon, it revolves around a plastic surgeon who is determined to perform a face transplant on his daughter, who was disfigured in an auto crash. During the film's production, consideration was given to the standards of European censors by setting the right tone, minimizing gore and eliminating the mad scientist character. Although the film passed through the European censors, the film's release in Europe caused controversy nevertheless. Critical reaction ranged from praise to disgust.",http://dbpedia.org/resource/Alida_Valli-http://dbpedia.org/resource/Juliette_Mayniel-http://dbpedia.org/resource/Pierre_Brasseur-http://dbpedia.org/resource/Édith_Scob,Eyes Without a Face,Category:1960 films-Category:1960 horror films-Category:Body horror films-Category:Films about surgeons-Category:Films based on French novels-Category:Films based on horror novels-Category:Films directed by Georges Franju-Category:Films scored by Maurice Jarre-Category:Films set in France-Category:French-language films-Category:French black-and-white films-Category:French films-Category:French serial killer films-Category:Gothic horror films-Category:Italian black-and-white films-Category:Italian films-Category:Italian horror films-Category:Lux Film films-Category:Mad scientist films-Category:Works about plastic surgery,http://dbpedia.org/resource/Eugen_Schüfftan,http://dbpedia.org/resource/Georges Franju,na,,French,,
http://dbpedia.org/resource/Teenage_Zombies,1853636,"Teenage Zombies is a 1959 science fiction horror film written, produced, edited and directed by Jerry Warren, and starring Katherine Victor, Don Sullivan, Chuck Niles and Warren's then-wife and production manager Brianne Murphy. Warren wrote the screenplay under his pen name Jacques Lecoutier (which he frequently misspelled in the credits). Film historian Bill Warren wrote This dreadful"," leaden and depressingly cheap film does have one unusual aspect... it was actually made by Jerry Warren in its entirety.""""",Brianne Murphy-Chuck Niles-Don Sullivan-http://dbpedia.org/resource/Katherine_Victor,Teenage Zombies,http://dbpedia.org/resource/Category:1960_films-http://dbpedia.org/resource/Category:1960_horror_films-http://dbpedia.org/resource/Category:1960s_independent_films-http://dbpedia.org/resource/Category:1960s_science_fiction_horror_films-http://dbpedia.org/resource/Category:American_black-and-white_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_independent_films-http://dbpedia.org/resource/Category:American_science_fiction_horror_films-http://dbpedia.org/resource/Category:American_zombie_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_directed_by_Jerry_Warren-http://dbpedia.org/resource/Category:Films_set_on_islands-http://dbpedia.org/resource/Category:Mad_scientist_films,na,Jerry Warren,na,http://dbpedia.org/resource/Jerry_Warren,na,
