film,number,abstract,starring,name,subjects,cinematography,director,gross,producer,language
Brahms: The Boy II,59850657,"Brahms: The Boy II is a 2020 American supernatural horror film starring Katie Holmes, Ralph Ineson, Christopher Convery and Owain Yeoman. A stand-alone sequel to the 2016 film The Boy, it is directed by William Brent Bell and written by Stacey Menear, the respective director and writer of the original film.",--Christopher Convery--Katie Holmes--Owain Yeoman--Ralph Ineson,Brahms: The Boy II,2020 films-2020 horror films-American films-American horror films-English-language films-Fictional dolls and dummies-Films about dolls-Films directed by William Brent Bell-Films produced by Gary Lucchesi-Films produced by Roy Lee-Films produced by Tom Rosenberg-Lakeshore Entertainment films-STX Entertainment films,Karl Walter Lindenlaub,William Brent Bell,2.03E7,William Brent Bell,English
The Craft: Legacy,62010614,"The Craft: Legacy (also known as Blumhouse's The Craft: Legacy) is a 2020 American supernatural horror film written and directed by Zoe Lister-Jones. It serves as a soft reboot and direct sequel to 1996's The Craft and stars Cailee Spaeny, Gideon Adlon, Lovie Simone and Zoey Luna as four teenage girls who pursue witchcraft and form a coven. It also stars Nicholas Galitzine, Michelle Monaghan and David Duchovny in supporting roles, while Fairuza Balk reprised her role as Nancy Downs from the first film for a cameo appearance.",--Cailee Spaeny--David Duchovny--Gideon Adlon--Lovie Simone--Michelle Monaghan--Nicholas Galitzine--Zoey Luna,The Craft: Legacy,2020 LGBT-related films-2020 fantasy films-2020 films-2020 horror films-2020s fantasy drama films-2020s feminist films-2020s high school films-2020s supernatural horror films-2020s teen drama films-2020s teen horror films-American dark fantasy films-American fantasy drama films-American feminist films-American films-American high school films-American horror drama films-American sequel films-American supernatural horror films-American teen LGBT-related films-American teen drama films-American teen horror films-Blumhouse Productions films-Columbia Pictures films-English-language films-Films about Wicca-Films about bullying-Films about trans women-Films about witchcraft-Films directed by Zoe Lister-Jones-Films produced by Douglas Wick-Films produced by Jason Blum-Films produced by Lucy Fisher-Films shot in Toronto-LGBT-related horror films-Male bisexuality in film-Supernatural drama films-Teen fantasy films,na,Zoe Lister-Jones,2300000.0,Zoe Lister-Jones,English
The Grudge (2020 film),56868209,"The Grudge is a 2020 American supernatural horror film written and directed by Nicolas Pesce, and produced by Sam Raimi, Rob Tapert, and Takashige Ichise. At first announced as a reboot of the 2004 American remake and the original 2002 Japanese horror film Ju-On: The Grudge, the film ended up taking place before and during the events of the 2004 film and its two direct sequels, and is the fourth installment in the American The Grudge film series. The film stars Andrea Riseborough, Demián Bichir, John Cho, Betty Gilpin, Lin Shaye, and Jacki Weaver, and follows a police officer who investigates several murders that are seemingly connected to a single house.",--Andrea Riseborough--Betty Gilpin--Demián Bichir--Jacki Weaver--John Cho--Lin Shaye,The Grudge,2020 films-2020 horror films-2020s supernatural horror films-American films-American ghost films-American sequel films-American supernatural horror films-Asian-American horror films-Familicide in fiction-Films about curses-Films directed by Nicolas Pesce-Films produced by Sam Raimi-Films scored by the Newton Brothers-Films set in 2004-Films set in 2005-Films set in 2006-Films set in Pennsylvania-Films set in Tokyo-Films shot in Winnipeg-Films with screenplays by Nicolas Pesce-Ghost House Pictures films-Japan in non-Japanese culture-Murder–suicide in films-Screen Gems films-The Grudge (film series),na,Nicolas Pesce,4.95E7,Nicolas Pesce,English
Peninsula (film),63495965,"Peninsula (Korean: 반도; Hanja: 半島; RR: Bando; marketed in North America, British Isles and India as Train to Busan Presents: Peninsula) is a 2020 South Korean action-horror film directed by Yeon Sang-ho. It is a standalone sequel to the 2016 film Train to Busan and follows a soldier who is sent along with his team to retrieve a truck full of money from the wastelands of the Korean peninsula now inhabited by zombies, rogue militia, and a family. The film was released in South Korea on 15 July 2020. It received mixed reviews from critics and has grossed $42.7 million worldwide.",--Gang Dong-won--Lee Jung-hyun--Lee Re,Peninsula,2020 action films-2020 films-2020 horror films-Films directed by Yeon Sang-ho-IFC Films films-IMAX films-Korean-language films-Next Entertainment World films-South Korean action horror films-South Korean action thriller films-South Korean films-South Korean horror thriller films-South Korean post-apocalyptic films-South Korean zombie films,na,Yeon Sang-ho,4.27E7,Yeon Sang-ho,English
Peninsula (film),63495965,"Peninsula (Korean: 반도; Hanja: 半島; RR: Bando; marketed in North America, British Isles and India as Train to Busan Presents: Peninsula) is a 2020 South Korean action-horror film directed by Yeon Sang-ho. It is a standalone sequel to the 2016 film Train to Busan and follows a soldier who is sent along with his team to retrieve a truck full of money from the wastelands of the Korean peninsula now inhabited by zombies, rogue militia, and a family. The film was released in South Korea on 15 July 2020. It received mixed reviews from critics and has grossed $42.7 million worldwide.",--Gang Dong-won--Lee Jung-hyun--Lee Re,Peninsula,2020 action films-2020 films-2020 horror films-Films directed by Yeon Sang-ho-IFC Films films-IMAX films-Korean-language films-Next Entertainment World films-South Korean action horror films-South Korean action thriller films-South Korean films-South Korean horror thriller films-South Korean post-apocalyptic films-South Korean zombie films,na,Yeon Sang-ho,4.27E7,Yeon Sang-ho,Korean
The Banishing,67236526,"The Banishing is a 2020 British horror film directed by Christopher Smith, starring Jessica Brown Findlay, John Heffernan, John Lynch and Sean Harris. It premiered at the Sitges Film Festival and London FrightFest Film Festival in October 2020, before being released digitally in the United Kingdom on 26 March 2021.",--Jessica Brown Findlay--John Heffernan (actor)--John Lynch (actor)--Sean Harris,The Banishing,2020 horror films-2020s ghost films-2020s supernatural horror films-British films-British ghost films-British horror films-British supernatural horror films-Films about Catholic priests-Films directed by Christopher Smith-Films set in 1935-Films set in 1938-Films set in Baden-Württemberg-Films set in England,na,Christopher Smith (director),131564.0,Christopher Smith (director),na
Castle Freak (2020 film),66018456,"Castle Freak is a 2020 American direct-to-video horror film that was directed by Tate Steinsiek. It has been billed as a reboot of the 1995 Stuart Gordon film by the same name, which is a loose adaptation of the stories The Outsider"" and ""The Dunwich Horror"" by H.P. Lovecraft.""",Chris Galust--Clair Catherine--Genti Kame--Jake Horowitz--Kika Magalhães--Klodian Hoxha--Klodjana Keco--Omar Shariff Brunson Jr.,Castle Freak,2020 direct-to-video films-2020 films-2020 horror films-2020s monster movies-American direct-to-video films-American films-American monster movies-Child abuse in fiction-Direct-to-video horror films-English-language films-Films based on short fiction-Films based on works by H. P. Lovecraft-Films set in Albania-Films set in castles,na,Tate Steinsiek,na,Tate Steinsiek,English
Death of Me (film),64971573,"Death of Me is a 2020 American horror film, directed by Darren Lynn Bousman, from a screenplay by Arli Margolis, James Morley III and David Tish. It stars Maggie Q, Alex Essoe, and Luke Hemsworth. It was released on October 2, 2020, by Saban Films.",--Luke Hemsworth--Maggie Q,Death of Me,2020 films-2020 horror films-American films-American horror films-Films about couples-Films about security and surveillance-Films about vacationing-Films directed by Darren Lynn Bousman-Films set in Thailand-Films shot in Thailand-Saban Films films-Uxoricide in fiction,na,Darren Lynn Bousman,na,Darren Lynn Bousman,English
Guest (2020 film),67737363,"Guest is a 2020 British psychological horror short film directed and written by . The film premiered on 27 August 2020 at FrightFest and, on 24 December 2020, was uploaded to YouTube. Upon release, the film received very positive reviews from critics, praising the film's direction, cinematography, monster design and special effects.",--Anna Fraser--Jessica Munna--Melania Crisan,Guest,2020 films-British films-British horror films,na,na,na,na,English
Guest (2020 film),67737363,"Guest is a 2020 British psychological horror short film directed and written by . The film premiered on 27 August 2020 at FrightFest and, on 24 December 2020, was uploaded to YouTube. Upon release, the film received very positive reviews from critics, praising the film's direction, cinematography, monster design and special effects.",--Anna Fraser--Jessica Munna--Melania Crisan,Guest,2020 horror films-2020 short films-2020s psychological horror films-British horror films-British short films-English-language films,na,na,na,na,English
The Old Ways,67507421,"The Old Ways is a 2020 American horror film directed by Christopher Alender. It stars Brigitte Kali Canales as Cristina Lopez, a Mexican-American reporter who returns to her hometown near Veracruz in search of a story on witchcraft. There, she is kidnapped by a group of locals, including a bruja (a female practitioner of witchcraft), who believe her to be possessed by a demon. The Old Ways had its world premiere at the Sitges Film Festival in October 2020.",--AJ Bowen--Andrea Cortés--Brigitte Kali Canales--Julia Vera--Sal Lopez,The Old Ways,2020 horror films-American films-American horror films-Demons in film-Films about exorcism-Films about witchcraft-Films set in Mexico-Hispanic and Latino American horror films,na,na,na,na,
Haunted Hills,63081015,"Haunted Hills (transl. हॉन्टेड हिल्स) is an Indian Hindi-language horror romantic film, written and directed by Sanjeev Kumar Rajput. The films stars Zuber K. Khan and Diana Khan in the lead roles.",Diana Khan--Gavie Chahal--Surendra Pal Singh--Zuber K. Khan,Haunted Hills,2020 films-2020 horror films-2020 romance films-2020s Hindi-language films-Films set in Mumbai-Indian films-Indian romantic horror films,na,na,na,na,http://dbpedia.org/resource/Hindi_language
The Last Matinee,66432782,"The Last Matinee (Spanish: Al morir la matinée) is a 2020 Spanish-language horror film directed by Maximiliano Contenti. An international co-production of Uruguay and Argentina, the film stars Luciana Grasso, Ricardo Islas, Julieta Spinelli and Franco Durán. It premiered in Uruguay in September 2020.",--Franco Durán--Julieta Spinelli--Luciana Grasso--Ricardo Islas,The Last Matinee,2020 films-2020 horror films-Films shot in Uruguay-Uruguayan films-Uruguayan horror films,na,na,na,na,Spanish
My Heart Can't Beat Unless You Tell It To,62990658,"My Heart Can't Beat Unless You Tell It To is a 2020 American psychological horror drama film written and directed by Jonathan Cuartas and starring Patrick Fugit, Ingrid Sophie Schram, and Owen Campbell.",--Owen Campbell--Patrick Fugit,My Heart Can't Beat Unless You Tell It To,2020 films-2020 horror films-American films-American horror films-English-language films-Films postponed due to the COVID-19 pandemic-Films shot in Salt Lake City-Spanish-language films,na,na,na,na,Spanish
The Superdeep,65691120,"The Superdeep (Russian: Кольская сверхглубокая) is a 2020 Russian horror film directed by Arseny Syuhin, based on the real-life Kola Superdeep Borehole. The film focuses on a group of researchers and soldiers who investigate the mystery surrounding reports of a disease outbreak at a secret underground research facility in 1984 Russia.",--Kirill Kovbas--Maksim Radugin--Milena Radulovic--Nikita Dyuvbanov--Vadim Demchog,The Superdeep,2020 films-2020 horror films-Russian-language films-Russian films-Russian science fiction horror films,na,na,na,na,
They're Outside,66538594,"They're Outside is a 2020 horror movie that was directed by Sam Casserly and Airell Anthony Hayles, the latter of whom also wrote the film's script. The film had a digital premiere at the August 2020 edition of FrightFest.",Brad Moore--Chrissy Randall--Emily Booth--Emma Burdon-Sutton--Jon-Paul Gates--Nicholas Vince--Nicole Miners--Rob Craine--Tom Wheatley,They're Outside,2020 horror films-British horror films-Films shot in East Sussex-Folk horror films-Found footage films,na,na,na,na,English
Fantasy Island (film),58716249,"Fantasy Island, also known as Blumhouse's Fantasy Island, is a 2020 American supernatural horror film directed and co-written by Jeff Wadlow. Serving both as a horror reimagining and a prequel to ABC's 1977 television series of the same name, it stars Michael Peña, Maggie Q, Lucy Hale, Austin Stowell, Jimmy O. Yang, Ryan Hansen, Portia Doubleday, and Michael Rooker and follows a group of people who, while visiting the eponymous island, discover that their dream fantasies brought to life begin to turn into horrific living nightmares they must try to survive.",--Austin Stowell--Jimmy O. Yang--Lucy Hale--Maggie Q--Michael Peña--Michael Rooker--Portia Doubleday--Ryan Hansen,Fantasy Island,2020 fantasy films-2020 films-2020 horror films-2020s fantasy adventure films-2020s supernatural horror films-American fantasy adventure films-American films-American supernatural horror films-American zombie films-Blumhouse Productions films-Columbia Pictures films-Fantasy Island-Films based on television series-Films directed by Jeff Wadlow-Films produced by Jason Blum-Films scored by Bear McCreary-Films set on islands-Films shot in Fiji-Holiday horror films-Jungle adventure films-Prequel films,Toby Oliver,Jeff Wadlow,4.88E7,Jeff Wadlow,English
The Rental,60519186,"The Rental is a 2020 American horror film written, produced and directed by Dave Franco, in his feature directorial debut. Franco co-wrote the screenplay with Joe Swanberg from a story by Franco, Swanberg, and Mike Demski. It stars Dan Stevens, Alison Brie, Sheila Vand, Jeremy Allen White, and Toby Huss, and follows two couples who begin to suspect they are being watched in the house they rented.",--Alison Brie--Dan Stevens--Jeremy Allen White--Sheila Vand--Toby Huss,The Rental,2020 directorial debut films-2020 horror films-2020s psychological horror films-American films-American horror thriller films-American psychological horror films-English-language films-Films about couples-Films about security and surveillance-Films about vacationing-Films set in Oregon-Films shot in Oregon-IFC Films films,na,Dave Franco,3400000.0,Dave Franco,English
The Rental,60519186,"The Rental is a 2020 American horror film written, produced and directed by Dave Franco, in his feature directorial debut. Franco co-wrote the screenplay with Joe Swanberg from a story by Franco, Swanberg, and Mike Demski. It stars Dan Stevens, Alison Brie, Sheila Vand, Jeremy Allen White, and Toby Huss, and follows two couples who begin to suspect they are being watched in the house they rented.",--Alison Brie--Dan Stevens--Jeremy Allen White--Sheila Vand--Toby Huss,The Rental,2020 directorial debut films-2020 horror films-2020s psychological horror films-English-language films-Films about couples-Films about security and surveillance-Films about vacationing-Films set in Oregon-Films shot in Oregon-IFC Films films,na,Dave Franco,3400000.0,Dave Franco,English
Relic (2020 film),63342411,"Relic is a 2020 Australian psychological horror film directed by Natalie Erika James from a screenplay by James and Christian White. The film stars Emily Mortimer, Robyn Nevin, and Bella Heathcote. Relic had its world premiere at the Sundance Film Festival on 25 January 2020, and was released on 3 July 2020 in the United States by IFC Midnight, and July 10 in Australia on Stan.",--Bella Heathcote--Emily Mortimer--Robyn Nevin,Relic,2020 drama films-2020 films-2020 horror films-2020s horror drama films-2020s psychological horror films-American films-American horror drama films-Australian films-Australian horror drama films-IFC Films films-Stan (service) original films,na,na,2200000.0,na,English
