film,number,abstract,starring,name,subjects,cinematography,director,gross,producer,language
Los Monstruos del Terror,7276177,"Los Monstruos del Terror (translation: The Monsters of Terror), also known as Dracula vs. Frankenstein (U.K. title), Dracula contre Frankenstein (French theatrical title), Reincarnator (French unauthorised video title) and Assignment: Terror (U.S. title), is a 1970 Spanish-German-Italian horror film directed by Tulio Demicheli and Hugo Fregonese. Eberhard Meichsner was also credited as a director in the British promotional material, but by all accounts he was most likely not involved at all. It stars Paul Naschy, Michael Rennie, Karin Dor and Craig Hill. It is the third in a series of films featuring the werewolf Count Waldemar Daninsky, who was always played by Naschy.",Karin Dor--Michael Rennie--Paul Naschy,Assignment: Terror,1970 films-1970 horror films-1970s exploitation films-Dracula films-Films directed by Tulio Demicheli-Frankenstein films-Italian films-Italian science fiction horror films-Mummy films-Spanish films-Spanish horror films-Werewolves in film-West German films,Godofredo Pacheco,Tulio Demicheli,na,Tulio Demicheli,Spanish
The Ancines Woods,12661000,"The Ancines Woods (Spanish: El Bosque del Lobo, lit. 'The Forest of the Wolf' also known as The Wolf's Forest) is a 1970 Spanish drama/horror film co-written, produced, and directed by Pedro Olea. It is based on the novel by Carlos Martínez-Barbeito, and is partially based on the life of Manuel Blanco Romasanta and his alleged lycanthropy.",Amparo Soler Leal--Antonio Casas--John Steiner--José Luis López Vázquez--Nuria Torray,The Ancines Woods,1970 drama films-1970 films-1970 horror films-1970s horror drama films-1970s serial killer films-Drama films based on actual events-Films based on Spanish novels-Films directed by Pedro Olea-Films set in the 19th century-Films shot in Spain-Horror films based on actual events-Spanish-language films-Spanish drama films-Spanish films-Spanish horror films-Werewolves in film,Aurelio G. Larraya,Pedro Olea,na,Pedro Olea,Spanish
Ghosts of Chosun,23275083,Ghosts of Chosun (informal title: A Ghost Story of Joseon Dynasty) (Korean: 이조괴담; RR: Ijogoedam) is a 1970 South Korean film directed by Shin Sang-ok.,Choe Ji-suk--Jeon Young-ju--Jo Su-hyeon--Lee Gang-hui,A Ghost Story of Joseon Dynasty,1970 films-1970 horror films-Films directed by Shin Sang-ok-Korean-language films-South Korean films-South Korean horror films,na,Shin Sang-ok,na,Shin Sang-ok,Korean
Venus Flytrap (film),31738244,"Venus Flytrap (also known as Body of the Prey and The Revenge of Doctor X) is a 1970 American science fiction horror film shot partly in Japan. It was distributed by the Toei Company of Japan. The plot features a mad scientist who uses lightning to turn carnivorous plants into sentient man-eating creatures. Based on a 1950s screenplay by an uncredited Ed Wood, the film is directed and produced by pulp writer Norman Earl Thomson. (Thomson reworked the screenplay considerably.)",Atsuko Rome--James Yagi--James Craig (actor),Venus Flytrap,1970 films-1970 horror films-1970s science fiction horror films-American films-English-language films-Films set in Japan-Films with screenplays by Ed Wood-Foreign films shot in Japan-Japan in non-Japanese culture-Mad scientist films,na,na,na,na,Japanese
The Snake King's Wife,19451320,"The Snake Man, also known as The Snake King's Wife (Khmer: ពស់កេងកង; Puŏs Kéngkâng; Thai: งูเก็งกอง; RTGS: Ngu-kengkong) is a 1970 Cambodian drama horror film based on a Cambodian myth about a snake goddess, starring the most well-known Khmer actress of the era, Dy Saveth and Chea Yuthorn, who became popular in Thailand after the film's release. The film was directed by a Chinese Cambodian director, Tea Lim Koun who experienced unprecedented success as a result of the film and is known today as one of the fathers of Khmer Cinema.",Mandoline--Chea Yuthorn--Dy Saveth--Loto (actor)--Saksi Sbong,The Snake Man,1970 films-1970 horror films-Cambodian films-Cambodian horror films-Films about snakes-Khmer-language films-Natural horror films,na,na,na,na,http://dbpedia.org/resource/Khmer_language
The Bloody Judge (film),53902287,"The Bloody Judge is a 1970 horror film directed by Jesús Franco and written by Enrico Colombo, Jesús Franco, Michael Haller, and Anthony Scott Veitch. The film stars Christopher Lee, Maria Schell, Leo Genn, Hans Hass Jr., Maria Rohm and Margaret Lee. The film was released in Italy on February 5, 1970.",--Christopher Lee--Hans Hass Jr.--Maria Rohm--Maria Schell,The Bloody Judge,1970 films-1970 horror films-1970s historical horror films-English-language German films-English-language films-Films directed by Jesús Franco-Films scored by Bruno Nicolai-Films set in England-Films set in London-Films set in the 1680s-Folk horror films-German historical horror films-Italian films-Italian historical horror films-Spanish films-Spanish historical horror films-West German films,na,Jesús Franco,na,Jesús Franco,na
The Dunwich Horror (film),24368095,"The Dunwich Horror is a 1970 American supernatural horror film directed by Daniel Haller, and starring Sandra Dee, Dean Stockwell, and Ed Begley. A loose adaptation of the short story of the same name by H.P. Lovecraft, the film concerns a young female graduate student who is targeted by a man attempting to use her in an occult ritual taken from the Necronomicon. The screenplay was co-written by Curtis Hanson, while Roger Corman served as an executive producer on the film.",--Dean Stockwell--Ed Begley--Sandra Dee--Talia Shire,The Dunwich Horror,1970 films-1970 horror films-1970s monster movies-American International Pictures films-American films-American monster movies-American supernatural horror films-Cthulhu Mythos films-English-language films-Films based on works by H. P. Lovecraft-Films directed by Daniel Haller-Films scored by Les Baxter-Films set in Massachusetts-Films set in fictional populated places-Psychedelic films,na,Daniel Haller,1000000.0,Daniel Haller,English
Tam-Lin (film),9689210,"Tam-Lin, also known as The Ballad of Tam-Lin, The Devil's Widow and The Devil's Woman, is a 1970 British folk horror film directed by Roddy McDowall. The film stars Ava Gardner and Ian McShane with Richard Wattis, Cyril Cusack, Stephanie Beacham, Sinéad Cusack and Joanna Lumley.",Ava Gardner--Cyril Cusack--Ian McShane--Richard Wattis--Stephanie Beacham,The Devil's Widow,1970 films-1970 horror films-American International Pictures films-British films-British horror films-English-language films-Films directed by Roddy McDowall-Films produced by Stanley Mann-Films scored by Stanley Myers-Films set in London-Films set in Scotland-Films shot at Pinewood Studios-Folk horror films,Billy Williams (cinematographer),Roddy McDowall,na,Roddy McDowall,English
Incense for the Damned,27515247,"Incense for the Damned (aka Bloodsuckers, Freedom Seeker and Doctors Wear Scarlet) is a 1971 British horror film. It was produced by Graham Harris in 1970. Director Robert Hartford-Davis, unhappy with the completed film, 'disowned' it, had his name removed and the fictitious Michael Burrowes credited as director. The film stars Patrick Macnee, Johnny Sekka, and Alexander Davion with Peter Cushing and Edward Woodward in supporting roles. Incense for the Damned is based on the 1960 Simon Raven novel Doctors Wear Scarlet. The film centres on Richard Fountain (Patrick Mower), a scholar of Greek mythology at the University of Oxford, who has fallen under the influence of Chriseis (Imogen Hassall), a mysterious Greek woman who is a modern-day vampire. Fountain, upon his return to the UK, is rev",Edward Woodward--Patrick Macnee--Peter Cushing,Incense for the Damned,1970 films-1970 horror films-British films-British horror films-Films directed by Robert Hartford-Davis-Films shot in Cyprus-Films with screenplays by Simon Raven-Vampires in film,Desmond Dickinson,Robert Hartford-Davis,na,Robert Hartford-Davis,English
Valerie and Her Week of Wonders (film),1868133,"Valerie and Her Week of Wonders (Czech: Valerie a týden divů) is a 1970 Czechoslovak surrealist fantasy horror film directed by Jaromil Jireš, based on the 1935 novel of the same name by Vítězslav Nezval. It is considered part of the Czechoslovak New Wave movement. The film portrays the heroine as living in a disorienting dream, cajoled by priests, vampires, and men and women alike. The film blends elements of the fantasy and horror film genres.",--Helena Anýžová--Jaroslava Schallerová--Jiří Prýmek--Petr Kopřiva,Valerie and Her Week of Wonders,1970 LGBT-related films-1970 drama films-1970 films-1970 horror films-1970s avant-garde and experimental films-1970s fantasy drama films-1970s horror drama films-Bisexuality-related films-Czech-language films-Czech LGBT-related films-Czech fantasy films-Czechoslovak avant-garde and experimental films-Czechoslovak drama films-Czechoslovak horror films-Films based on Czech novels-Films based on fairy tales-Films directed by Jaromil Jireš-Films set in the 19th century-Films set in the Czech Republic-Films shot in the Czech Republic-LGBT-related drama films-LGBT-related horror films-Lesbian-related films-Vampires in film-Women and death,Jan Čuřík,Jaromil Jireš,na,Jaromil Jireš,Czech
The House That Would Not Die,47308092,"The House That Would Not Die is a 1970 American made-for-television supernatural horror film starring Barbara Stanwyck (in her television film debut), Richard Egan, Michael Anderson Jr. and Kitty Winn. It premiered as the ABC Movie of the Week on October 27, 1970. Henry Farrell, author of What Ever Happened to Baby Jane?, wrote the teleplay based on the 1968 novel Ammie Come Home by Barbara Michaels, one of several pseudonyms used by author Barbara Mertz.",Barbara Stanwyck--Kitty Winn--Michael Anderson Jr.--Richard Egan (actor),The House That Would Not Die,1970 films-1970 horror films-1970 television films-1970s supernatural horror films-ABC Movie of the Week-American films-American ghost films-American haunted house films-American horror television films-American supernatural horror films-English-language films-Films about witchcraft-Films based on horror novels-Films directed by John Llewellyn Moxey-Films produced by Aaron Spelling-Films scored by Laurence Rosenthal-Films set in Pennsylvania-Films shot in Los Angeles,na,John Llewellyn Moxey,na,John Llewellyn Moxey,English
Journey to the Unknown (film),50757440,"Journey to the Unknown is a 1970 British-American made-for-television thriller film featuring two episodes derived from the 1968–1969 anthology television series of the same name starring Vera Miles and Patty Duke, directed by Michael Lindsay-Hogg and Don Chaffey. The film contains the following episodes: 
* Matakitas is Coming"" (original broadcast: November 28", 1968 on ABC) ,,,,,,,
"* ""The Last Visitor"" (original broadcast: January 2"," 1969 on ABC) Joan Crawford is featured as hostess in a dark library setting who provides a short narration and introduces the two episodes.""",http://dbpedia.org/resource/Patty_Duke--http://dbpedia.org/resource/Vera_Miles,Journey to the Unknown,http://dbpedia.org/resource/Category:1970_films-http://dbpedia.org/resource/Category:1970_horror_films-http://dbpedia.org/resource/Category:1970_television_films-http://dbpedia.org/resource/Category:20th_Century_Fox_Television_films-http://dbpedia.org/resource/Category:British_anthology_films-http://dbpedia.org/resource/Category:British_films-http://dbpedia.org/resource/Category:British_horror_anthology_films-http://dbpedia.org/resource/Category:British_television_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_directed_by_Don_Chaffey-http://dbpedia.org/resource/Category:Films_directed_by_Michael_Lindsay-Hogg-http://dbpedia.org/resource/Category:Films_edited_from_television_programs-http://dbpedia.org/resource/Category:Hammer_Film_Productions_films,na,Don Chaffey,na,http://dbpedia.org/resource/Anthony_Hinds,na,
Journey to the Unknown (film),50757440,"Journey to the Unknown is a 1970 British-American made-for-television thriller film featuring two episodes derived from the 1968–1969 anthology television series of the same name starring Vera Miles and Patty Duke, directed by Michael Lindsay-Hogg and Don Chaffey. The film contains the following episodes: 
* Matakitas is Coming"" (original broadcast: November 28", 1968 on ABC) ,,,,,,,
"* ""The Last Visitor"" (original broadcast: January 2"," 1969 on ABC) Joan Crawford is featured as hostess in a dark library setting who provides a short narration and introduces the two episodes.""",http://dbpedia.org/resource/Patty_Duke--http://dbpedia.org/resource/Vera_Miles,Journey to the Unknown,http://dbpedia.org/resource/Category:1970_films-http://dbpedia.org/resource/Category:1970_horror_films-http://dbpedia.org/resource/Category:1970_television_films-http://dbpedia.org/resource/Category:20th_Century_Fox_Television_films-http://dbpedia.org/resource/Category:British_anthology_films-http://dbpedia.org/resource/Category:British_films-http://dbpedia.org/resource/Category:British_horror_anthology_films-http://dbpedia.org/resource/Category:British_television_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_directed_by_Don_Chaffey-http://dbpedia.org/resource/Category:Films_directed_by_Michael_Lindsay-Hogg-http://dbpedia.org/resource/Category:Films_edited_from_television_programs-http://dbpedia.org/resource/Category:Hammer_Film_Productions_films,na,Michael Lindsay-Hogg,na,http://dbpedia.org/resource/Anthony_Hinds,na,
Savage Intruder,62806892,"Savage Intruder, later released as Hollywood Horror House, is a 1970 American horror film directed by Donald Wolfe and starring Miriam Hopkins, John David Garfield and Gale Sondergaard.",Florence Lake--Gale Sondergaard--John David Garfield--Miriam Hopkins,Savage Intruder,1970 films-1970 horror films-1970s horror thriller films-American films-American horror thriller films-English-language films-Films scored by Stu Phillips,John Arthur Morrill,na,na,na,English
The Beast in the Cellar,23207678,"The Beast in the Cellar is a 1970 British horror film written and directed by James Kelley. The film was produced by Leander Films and Tigon British Film Productions, and starred Beryl Reid.",Beryl Reid--John Hamill--T. P. McKenna--Tessa Wyatt--Vernon Dobtcheff,The Beast in the Cellar,1970s serial killer films,na,na,na,na,English
Lokis (film),28196198,"Lokis (Polish: Lokis. Rękopis profesora Wittembacha, lit. 'Lokis. A Manuscript of Professor Wittembach') is a 1970 Polish fantasy horror film written and directed by Janusz Majewski, and based on the 1869 Prosper Mérimée horror novel of the same name. Lokis"" is Mérimée's misspelling of the Lithuanian word lokys for ""bear"".""",Józef Duriasz--Edmund Fetting--Gustaw Lutkiewicz--Hanna Stankówna--Małgorzata Braunek--Zofia Mrozowska,Lokis. Rękopis profesora Wittembacha,1970 drama films-1970 films-1970 horror films-Films based on works by Prosper Mérimée-Films directed by Janusz Majewski-Gothic horror films-Polish-language films-Polish fantasy films-Polish films-Polish horror films,na,Janusz Majewski (director),na,Janusz Majewski (director),Polish
Los Monstruos del Terror,7276177,"Los Monstruos del Terror (translation: The Monsters of Terror), also known as Dracula vs. Frankenstein (U.K. title), Dracula contre Frankenstein (French theatrical title), Reincarnator (French unauthorised video title) and Assignment: Terror (U.S. title), is a 1970 Spanish-German-Italian horror film directed by Tulio Demicheli and Hugo Fregonese. Eberhard Meichsner was also credited as a director in the British promotional material, but by all accounts he was most likely not involved at all. It stars Paul Naschy, Michael Rennie, Karin Dor and Craig Hill. It is the third in a series of films featuring the werewolf Count Waldemar Daninsky, who was always played by Naschy.",Karin Dor--Michael Rennie--Paul Naschy,Los Monstruos del Terror,1970 films-1970 horror films-1970s exploitation films-Dracula films-Films directed by Tulio Demicheli-Frankenstein films-Italian films-Italian science fiction horror films-Mummy films-Spanish films-Spanish horror films-Werewolves in film-West German films,Godofredo Pacheco,Tulio Demicheli,na,Tulio Demicheli,Spanish
Goodbye Gemini,10540961,"Goodbye Gemini (also released as Twinsanity) is a 1970 British psychological horror film directed by Alan Gibson and starring Judy Geeson, Michael Redgrave, and Martin Potter. Based on the novel Ask Agamemnon by Jenni Hall, it concerns a pair of unusually close fraternal twins, Jacki and Julian, discovering Swinging London while home on Spring Break. Their experiences complicate the pair's relationship, which is already strained due to Julian's incestuous fascination with his sister, which he sees as a natural manifestation of what he believes to be the pair's hive-minded nature.",Judy Geeson--Martin Potter (actor)--Michael Redgrave,Goodbye Gemini,1970 films-1970 horror films-1970s horror thriller films-British LGBT-related films-British films-British horror thriller films-Cross-dressing in film-English-language films-Films directed by Alan Gibson-Films scored by Christopher Gunning-Films set in London-Films shot in London-LGBT-related horror films-Twins in fiction,Geoffrey Unsworth,Alan Gibson (director),na,Alan Gibson (director),English
Crowhaven Farm,57271523,"Crowhaven Farm is a 1970 American made-for-television supernatural horror film directed by Walter Grauman and starring Hope Lange, Paul Burke and John Carradine. It originally aired as the ABC Movie of the Week on November 24, 1970.",Hope Lange--John Carradine--Lloyd Bochner--Paul Burke (actor),Crowhaven Farm,1970 horror films-1970 television films-1970s supernatural films-1970s supernatural horror films-ABC Movie of the Week-Horror television films,na,Walter Grauman,na,Walter Grauman,English
Night Slaves,29836606,"Night Slaves is a 1970 American television science fiction horror film directed by Ted Post and starring James Franciscus and Lee Grant. It was based on a 1965 novel by science fiction writer Jerry Sohl, best known for writing episodes of The Outer Limits, Star Trek, Alfred Hitchcock Presents and as ghostwriter for Charles Beaumont on three episodes of The Twilight Zone. Night Slaves aired as part of the ABC Network's Movie of the Week series. Other TV movies in the series included Duel, The Night Stalker and Killdozer.",Andrew Prine--James Franciscus--Lee Grant--Leslie Nielsen,Night Slaves,1970 films-1970 horror films-1970 television films-1970s science fiction horror films-ABC Movie of the Week-American films-American science fiction horror films-American science fiction television films-English-language films-Films directed by Ted Post-Films scored by Bernardo Segall-Horror television films,na,Ted Post,na,Ted Post,English
The Vampire Doll,49306878,"The Vampire Doll (幽霊屋敷の恐怖 血を吸う人形, Chi o suu ningyo) is a 1970 Japanese horror film directed by Michio Yamamoto.",--Yoko Minazake--Kayo Matsuo--Yukiko Kobayashi,The Vampire Doll,1970 films-1970 horror films-Films produced by Tomoyuki Tanaka-Japanese-language films-Japanese films-Japanese horror films-Toho films-Vampires in film,na,na,na,na,Japanese
Equinox (1970 film),4426490,"Equinox is a 1970 American supernatural horror film directed by Jack Woods, and starring Edward Connell, Barbara Hewitt, Frank Bonner and Robin Christopher. Though uncredited, producer Dennis Muren also served as a second director. The film focuses on four young people picnicking in a California canyon, where they stumble upon an ancient book used to conjure demons; soon they unleash a plethora of evil creatures.",--Barbara Hewitt--Edward Connell--Frank Bonner--Robin Christopher,Equinox,1970 films-1970 horror films-1970s monster movies-Amateur filmmaking-American films-American monster movies-American supernatural horror films-Demons in film-English-language films-Films set in California-Films using stop-motion animation,na,Dennis Muren,849600.0,Dennis Muren,English
Dream No Evil,66413853,"Dream No Evil is a 1970 American horror film written and directed by John Hayes, and starring Edmond O'Brien, Brooke Mills, and Marc Lawrence. Its plot follows young woman who, adopted and raised by a traveling evangelist group, develops a deadly obsession with locating her birth father. It was also released under the alternate titles The Faith Healer and Now I Lay Me Down to Die.",--Brooke Mills--Edmond O'Brien--Marc Lawrence--Michael Pataki,Dream No Evil,1970 films-1970 horror films-1970s psychological horror films-American films-American horror films-American psychological horror films-Films about orphans-Films about schizophrenia-Films about sexual repression-Films set in California-Films shot in California-Religious horror films,na,John Hayes (director),na,John Hayes (director),English
Los Monstruos del Terror,7276177,"Los Monstruos del Terror (translation: The Monsters of Terror), also known as Dracula vs. Frankenstein (U.K. title), Dracula contre Frankenstein (French theatrical title), Reincarnator (French unauthorised video title) and Assignment: Terror (U.S. title), is a 1970 Spanish-German-Italian horror film directed by Tulio Demicheli and Hugo Fregonese. Eberhard Meichsner was also credited as a director in the British promotional material, but by all accounts he was most likely not involved at all. It stars Paul Naschy, Michael Rennie, Karin Dor and Craig Hill. It is the third in a series of films featuring the werewolf Count Waldemar Daninsky, who was always played by Naschy.",Karin Dor--Michael Rennie--Paul Naschy,Los Monstruos del Terror,1970 films-1970 horror films-1970s exploitation films-Dracula films-Films directed by Tulio Demicheli-Frankenstein films-Italian films-Italian science fiction horror films-Mummy films-Spanish films-Spanish horror films-Werewolves in film-West German films,Godofredo Pacheco,Hugo Fregonese,na,Hugo Fregonese,Spanish
Taste the Blood of Dracula,3524875,"Taste the Blood of Dracula is a 1970 British supernatural horror film produced by Hammer Film Productions. Directed by Peter Sasdy from a script by Anthony Hinds, it is the fifth installment in Hammer's Dracula series, and the fourth to star Christopher Lee as Count Dracula, the titular vampire. The film also features Geoffrey Keen and Gwen Watford. Taste the Blood of Dracula was released on a double bill alongside Crescendo, another Hammer production. It was followed by Scars of Dracula, also released in 1970.",Christopher Lee--Geoffrey Keen--Gwen Watford--Linda Hayden,Taste the Blood of Dracula,1970 films-1970 horror films-1970s historical films-British films-British historical films-British sequel films-Dracula (Hammer film series)-Dracula films-English-language films-Films directed by Peter Sasdy-Films scored by James Bernard-Films set in London-Films set in the 19th century-Films shot at Elstree Studios-Hammer Film Productions horror films-Resurrection in film-Warner Bros. films,Arthur Grant (cinematographer),Peter Sasdy,na,Peter Sasdy,English
Flesh Feast (film),3010079,"Flesh Feast (released in 1970, though shot in 1967) is an American horror film that features Veronica Lake in her final screen performance.",Veronica Lake,Flesh Feast,1970 directorial debut films-1970 films-1970 horror films-Cultural depictions of Adolf Hitler-Mad scientist films,na,Brad F. Grinter,na,Brad F. Grinter,English
