film,number,abstract,starring,name,subjects,cinematography,director,gross,producer,language
Equinox (1970 film),4426490,"Equinox is a 1970 American supernatural horror film directed by Jack Woods, and starring Edward Connell, Barbara Hewitt, Frank Bonner and Robin Christopher. Though uncredited, producer Dennis Muren also served as a second director. The film focuses on four young people picnicking in a California canyon, where they stumble upon an ancient book used to conjure demons; soon they unleash a plethora of evil creatures.",Barbara Hewitt--Edward Connell--Frank Bonner--Robin Christopher,Equinox,1970s monster movies,na,Dennis Muren,849600.0,Dennis Muren,English
Ritual of Evil,41730793,"Ritual of Evil is a 1970 American made-for-television drama horror film directed by Robert Day and starring Louis Jourdan. It was made as a sequel to Fear No Evil (1969), which also starred Louis Jourdan as Dr. Sorrell.",Louis Jourdan,Ritual of Evil,1970 films-1970 horror films-1970 television films-American films-American horror drama films-American television films-Films about cults-Films scored by Billy Goldenberg-Horror television films-Occult detective fiction,na,Robert Day (director),na,Robert Day (director),English
Ghosts of Chosun,23275083,Ghosts of Chosun (informal title: A Ghost Story of Joseon Dynasty) (Korean: 이조괴담; RR: Ijogoedam) is a 1970 South Korean film directed by Shin Sang-ok.,Choe Ji-suk--Jeon Young-ju--Jo Su-hyeon--Lee Gang-hui,or informal title:,1970 films-1970 horror films-Films directed by Shin Sang-ok-Korean-language films-South Korean films-South Korean horror films,na,Shin Sang-ok,na,Shin Sang-ok,Korean
"Count Yorga, Vampire",3374673,"Count Yorga, Vampire (also known as The Loves Of Count Iorga, Vampire) is a 1970 American vampire horror film written and directed by Bob Kelljan and starring Robert Quarry, Roger Perry and Michael Murphy. It was followed by a sequel, The Return of Count Yorga.",Donna Anders--Michael Macready--Michael Murphy (actor)--Robert Quarry--Roger Perry,"Count Yorga, Vampire",1970 films-1970 horror films-American International Pictures films-American films-Vampires in film,na,na,na,na,English
Hatchet for the Honeymoon,21482902,"Hatchet for the Honeymoon (Italian: Il rosso segno della follia, lit. 'The Red Sign of Madness') is a 1970 giallo film directed by Mario Bava and starring Stephen Forsyth, Dagmar Lassander, Laura Betti, and Femi Benussi. The story follows John Harrington, a hatchet-wielding madman who murders young brides in an effort to recall a childhood trauma.",--Stephen Forsyth--Dagmar Lassander--Femi Benussi--Jesús Puente--Laura Betti,Hatchet for the Honeymoon,1970 films-1970 horror films-1970s thriller films-Films directed by Mario Bava-Films shot in Barcelona-Films shot in Rome-Giallo films-Italian films-Italian serial killer films-Italian thriller films-Spanish films-Spanish horror films-Spanish thriller films,Mario Bava,Mario Bava,na,Mario Bava,na
Tam-Lin (film),9689210,"Tam-Lin, also known as The Ballad of Tam-Lin, The Devil's Widow and The Devil's Woman, is a 1970 British folk horror film directed by Roddy McDowall. The film stars Ava Gardner and Ian McShane with Richard Wattis, Cyril Cusack, Stephanie Beacham, Sinéad Cusack and Joanna Lumley.",Ava Gardner--Cyril Cusack--Ian McShane--Richard Wattis--Stephanie Beacham,Tam-Lin or,1970 films-1970 horror films-American International Pictures films-British films-British horror films-English-language films-Films directed by Roddy McDowall-Films produced by Stanley Mann-Films scored by Stanley Myers-Films set in London-Films set in Scotland-Films shot at Pinewood Studios-Folk horror films,Billy Williams (cinematographer),Roddy McDowall,na,Roddy McDowall,English
The Wizard of Gore,9804175,"The Wizard of Gore is a 1970 American fantasy splatter film directed by Herschell Gordon Lewis and starring Ray Sager, Judy Cler, and Wayne Ratay. The screenplay was written by Allen Kahn.",--Judy Cler--Ray Sager--Wayne Ratay,The Wizard of Gore,1970 films-1970 horror films-American films-American independent films-American splatter films-English-language films-Films about magic and magicians-Films directed by Herschell Gordon Lewis-Films shot in Chicago-Films shot in Illinois-Something Weird Video,Alex Ameri,Herschell Gordon Lewis,na,Herschell Gordon Lewis,English
Bloodthirsty Butchers (film),15461990,"Bloodthirsty Butchers is a 1970 horror film directed by Andy Milligan and starring Michael Cox, Linda Driver, Jane Helay, and Bernard Kaler. It is an adaptation of the notorious story of Sweeney Todd.",Bernard Kaler--Jane Helay--Linda Driver--Michael Cox,Bloodthirsty Butchers,1970 films-1970 horror films-1970 independent films-1970s exploitation films-American exploitation films-American films-American independent films-American serial killer films-American slasher films-American splatter films-English-language films-Films about cannibalism-Films set in London-Sweeney Todd,Andy Milligan,Andy Milligan,na,Andy Milligan,English
Blood Mania,25526318,"Blood Mania is a 1970 American horror film written by Peter Carpenter and Tony Crechales and directed by Robert Vincent O'Neil, and starring Carpenter, Maria De Aragon, Vicki Peters, Reagan Wilson, Jacqueline Dalya, and Alex Rocco. The film stars Carpenter as a doctor whose mistress, an heiress, murders her terminally ill father to help him pay off a debt. Released in the fall of 1970, the film would go on to be featured as a double bill with 1961's Bloodlust!. According to star Vicki Peters, the house the film was shot in was formerly owned by Bela Lugosi.",--Jacqueline Dalya--Maria De Aragon--Peter Carpenter--Reagan Wilson--Vicki Peters,Blood Mania,1970 LGBT-related films-1970 films-1970 horror films-American drama films-American erotic films-American exploitation films-American films-American splatter films-Crown International Pictures films-Films about dysfunctional families-Films about inheritances-Films set in Los Angeles-Films set in country houses-Films shot in Los Angeles-LGBT-related horror films-Patricide in fiction-Sororicide in fiction,Gary Graver,na,na,na,English
Count Dracula (1970 film),3509741,"Count Dracula (German: Nachts, wenn Dracula erwacht, lit. 'At night, when Dracula awakens') is a 1970 gothic horror film directed by Jesús Franco, based on the novel Dracula by Bram Stoker. It stars Christopher Lee, Herbert Lom and Klaus Kinski. The film was shot at the Tirrenia Studios and on location in Spain. The film's sets were designed by the art director Karl Schneider.",--Christopher Lee--Frederick Williams--Herbert Lom--Jack Taylor--Klaus Kinski--Maria Rohm--Paul Muller--Soledad Miranda,Count Dracula,1970 films-1970 horror films-British films-British horror films-Dracula films-English-language German films-English-language films-Films directed by Jesús Franco-Films scored by Bruno Nicolai-Films set in castles-Films shot at Tirrenia Studios-Films shot in Barcelona-German horror films-Gloria Film films-West German films,na,Jesús Franco,na,Jesús Franco,na
Cry of the Banshee,2040174,"Cry of the Banshee is a 1970 British horror film directed by Gordon Hessler and starring Vincent Price as an evil witchhunter. The film was released by American International Pictures. The film costars Elizabeth Bergner, Hilary Dwyer, and Hugh Griffith. The title credit sequence was animated by Terry Gilliam.",Elizabeth Bergner--Essy Persson--Hilary Dwyer--Hugh Griffith--Patrick Mower--Sally Geeson--Vincent Price,Cry of the Banshee,1970 films-1970 horror films-American International Pictures films-British films-British horror films-Demons in film-English-language films-Films about witchcraft-Films directed by Gordon Hessler-Films scored by Les Baxter-Films set in Tudor England-Films set in the 16th century-Folk horror films,John Coquillon,Gordon Hessler,1306000.0,Gordon Hessler,http://dbpedia.org/resource/English_language
The Horror of Frankenstein,4141849,"The Horror of Frankenstein is a 1970 British horror film by Hammer Film Productions that is both a semi-parody and semi-remake of the 1957 film The Curse of Frankenstein, of Hammer's Frankenstein series. It was produced and directed by Jimmy Sangster, starring Ralph Bates, Kate O'Mara, Veronica Carlson and David Prowse as the monster. The original music score was composed by Malcolm Williamson.",David Prowse--Kate O'Mara--Ralph Bates--Veronica Carlson,The Horror of Frankenstein,1970 films-1970 horror films-British film remakes-British films-British science fiction films-English-language films-Films directed by Jimmy Sangster-Films produced by Jimmy Sangster-Films scored by Malcolm Williamson-Films set in Europe-Films set in Vienna-Films shot at Elstree Studios-Films with screenplays by Jimmy Sangster-Frankenstein films-Hammer Film Productions horror films-Horror film remakes-Patricide in fiction,Moray Grant,Jimmy Sangster,na,Jimmy Sangster,English
Jonathan (1970 film),38024097,"Jonathan is a 1970 West German vampire horror film directed by Hans W. Geißendörfer. The film stars Jürgen Jung, Hans-Dieter Jendreyko, Paul Albert Krumm, Hertha von Walther and Oskar von Schab. The film takes place in the 19th century where vampires who are immune to sunlight have taken over the world. Human rebels band together for a battle of life and the control of civilization.",--Hans-Dieter Jendreyko--Jürgen Jung--Oskar von Schab--Paul Albert Krumm--Thomas Astan--Hertha von Walther,Jonathan,1970 directorial debut films-1970 horror films-1970s historical horror films-Dracula films-Films directed by Hans W. Geißendörfer-Films set in castles-Films set in the 19th century-German-language films-German historical horror films-West German films,Robby Müller,Hans W. Geißendörfer,na,Hans W. Geißendörfer,German
Ghosts of Chosun,23275083,Ghosts of Chosun (informal title: A Ghost Story of Joseon Dynasty) (Korean: 이조괴담; RR: Ijogoedam) is a 1970 South Korean film directed by Shin Sang-ok.,Choe Ji-suk--Jeon Young-ju--Jo Su-hyeon--Lee Gang-hui,Ghosts of Chosun,1970 films-1970 horror films-Films directed by Shin Sang-ok-Korean-language films-South Korean films-South Korean horror films,na,Shin Sang-ok,na,Shin Sang-ok,Korean
