film,number,abstract,starring,name,subjects,cinematography,director,gross,producer,language
" with paintings by H. R. Giger and a plot that had been called Hellraiser in outer space."" Jack Sholder was hired for substantial uncredited reshoots", and Francis Ford Coppola was brought in for editing purposes. Various sources suggest that little of Hill's work remains in the theatrical cut of the film. The film shares several plot similarities with the film Event Horizon," released in 19""",--Angela Bassett--James Spader--Lou Diamond Phillips--Peter Facinelli--Robert Forster--Robin Tunney--Wilson Cruz,Supernova,2000 films-2000 horror films-2000s science fiction horror films-2000s thriller films-American films-American science fiction horror films-American space adventure films-American thriller films-English-language films-Fiction about supernovae-Films directed by Alan Smithee-Films directed by Walter Hill-Films set in the 22nd century-Metro-Goldwyn-Mayer films-Swiss films-Swiss horror films,Lloyd Ahern II,Francis Ford Coppola,1.48E7,Francis Ford Coppola,English
Dracula 2000,http://dbpedia.org/resource/Category:2000_directorial_debut_films-http://dbpedia.org/resource/Category:2000_films-http://dbpedia.org/resource/Category:2000_horror_films-http://dbpedia.org/resource/Category:2000s_thriller_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_horror_thriller_films-http://dbpedia.org/resource/Category:American_supernatural_horror_films-http://dbpedia.org/resource/Category:Cultural_depictions_of_Judas_Iscariot-http://dbpedia.org/resource/Category:Dimension_Films_films-http://dbpedia.org/resource/Category:Dracula_2000_(film_series)-http://dbpedia.org/resource/Category:Dracula_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_about_nightmares-http://dbpedia.org/resource/Category:Films_about_religion-http://dbpedia.org/resource/Category:Films_about_telepathy-http://dbpedia.org/resource/Category:Films_directed_by_Patrick_Lussier-http://dbpedia.org/resource/Category:Films_produced_by_Joel_Soisson-http://dbpedia.org/resource/Category:Films_scored_by_Marco_Beltrami-http://dbpedia.org/resource/Category:Films_set_in_2000-http://dbpedia.org/resource/Category:Films_set_in_London-http://dbpedia.org/resource/Category:Films_set_in_New_Orleans-http://dbpedia.org/resource/Category:Films_shot_in_New_Orleans-http://dbpedia.org/resource/Category:Films_shot_in_Toronto-http://dbpedia.org/resource/Category:Films_with_screenplays_by_Ehren_Kruger-http://dbpedia.org/resource/Category:Films_with_screenplays_by_Joel_Soisson-http://dbpedia.org/resource/Category:Portrayals_of_Jesus_in_film-http://dbpedia.org/resource/Category:Reboot_films-http://dbpedia.org/resource/Category:Religious_horror_films-http://dbpedia.org/resource/Category:Resurrection_in_film,http://dbpedia.org/resource/Peter_Pau,Patrick Lussier,4.71E7,http://dbpedia.org/resource/Joel Soisson--http://dbpedia.org/resource/W.K. Border,English,,,,
Final Destination,http://dbpedia.org/resource/Category:2000_directorial_debut_films-http://dbpedia.org/resource/Category:2000_films-http://dbpedia.org/resource/Category:2000_horror_films-http://dbpedia.org/resource/Category:2000s_horror_thriller_films-http://dbpedia.org/resource/Category:2000s_teen_horror_films-http://dbpedia.org/resource/Category:American_aviation_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_horror_thriller_films-http://dbpedia.org/resource/Category:American_splatter_films-http://dbpedia.org/resource/Category:American_teen_horror_films-http://dbpedia.org/resource/Category:Films_about_aviation_accidents_or_incidents-http://dbpedia.org/resource/Category:Films_directed_by_James_Wong_(filmmaker)-http://dbpedia.org/resource/Category:Films_scored_by_Shirley_Walker-http://dbpedia.org/resource/Category:Films_set_in_2000-http://dbpedia.org/resource/Category:Films_set_in_New_York_City-http://dbpedia.org/resource/Category:Films_set_in_airports-http://dbpedia.org/resource/Category:Films_set_on_airplanes-http://dbpedia.org/resource/Category:Films_shot_in_San_Francisco-http://dbpedia.org/resource/Category:Films_shot_in_Toronto-http://dbpedia.org/resource/Category:Films_shot_in_Vancouver-http://dbpedia.org/resource/Category:Final_Destination_films-http://dbpedia.org/resource/Category:New_Line_Cinema_films,http://dbpedia.org/resource/Robert_McLachlan_(cinematographer),James Wong (filmmaker),1.129E8,http://dbpedia.org/resource/Glen Morgan,English,,,,
Faust: Love of the Damned,http://dbpedia.org/resource/Category:2000_films-http://dbpedia.org/resource/Category:2000_horror_films-http://dbpedia.org/resource/Category:2000s_superhero_films-http://dbpedia.org/resource/Category:Action_horror_films-http://dbpedia.org/resource/Category:Dark_fantasy_films-http://dbpedia.org/resource/Category:Demons_in_film-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_about_Satanism-http://dbpedia.org/resource/Category:Films_about_rape-http://dbpedia.org/resource/Category:Films_based_on_American_comics-http://dbpedia.org/resource/Category:Films_directed_by_Brian_Yuzna-http://dbpedia.org/resource/Category:Films_shot_in_Barcelona-http://dbpedia.org/resource/Category:Live-action_films_based_on_comics-http://dbpedia.org/resource/Category:Spanish_action_films-http://dbpedia.org/resource/Category:Spanish_fantasy_films-http://dbpedia.org/resource/Category:Spanish_films-http://dbpedia.org/resource/Category:Spanish_films_about_revenge-http://dbpedia.org/resource/Category:Spanish_horror_films-http://dbpedia.org/resource/Category:Spanish_supernatural_horror_films-http://dbpedia.org/resource/Category:Spanish_vigilante_films-http://dbpedia.org/resource/Category:Splatter_films-http://dbpedia.org/resource/Category:Superhero_horror_films-http://dbpedia.org/resource/Category:Supervillain_films-http://dbpedia.org/resource/Category:Works_based_on_the_Faust_legend,http://dbpedia.org/resource/Jacques_Haitkin,Brian Yuzna,na,http://dbpedia.org/resource/Brian Yuzna,English,,,,
Hellraiser: Inferno,http://dbpedia.org/resource/Category:2000_direct-to-video_films-http://dbpedia.org/resource/Category:2000_directorial_debut_films-http://dbpedia.org/resource/Category:2000_films-http://dbpedia.org/resource/Category:2000_horror_films-http://dbpedia.org/resource/Category:American_direct-to-video_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_supernatural_horror_films-http://dbpedia.org/resource/Category:Dimension_Films_films-http://dbpedia.org/resource/Category:Direct-to-video_horror_films-http://dbpedia.org/resource/Category:Direct-to-video_interquel_films-http://dbpedia.org/resource/Category:Films_based_on_works_by_Clive_Barker-http://dbpedia.org/resource/Category:Films_directed_by_Scott_Derrickson-http://dbpedia.org/resource/Category:Hellraiser_films-http://dbpedia.org/resource/Category:Religious_horror_films,http://dbpedia.org/resource/Nathan_Hope,Scott Derrickson,na,http://dbpedia.org/resource/Joel Soisson--http://dbpedia.org/resource/W.K. Border,English,,,,
Versus,http://dbpedia.org/resource/Category:2000_films-http://dbpedia.org/resource/Category:2000_horror_films-http://dbpedia.org/resource/Category:2000s_action_thriller_films-http://dbpedia.org/resource/Category:2000s_exploitation_films-http://dbpedia.org/resource/Category:2000s_fantasy_films-http://dbpedia.org/resource/Category:Films_directed_by_Ryuhei_Kitamura-http://dbpedia.org/resource/Category:Japanese-language_films-http://dbpedia.org/resource/Category:Japanese_action_films-http://dbpedia.org/resource/Category:Japanese_action_horror_films-http://dbpedia.org/resource/Category:Japanese_films-http://dbpedia.org/resource/Category:Japanese_horror_films-http://dbpedia.org/resource/Category:Japanese_martial_arts_films-http://dbpedia.org/resource/Category:Japanese_zombie_films-http://dbpedia.org/resource/Category:Martial_arts_horror_films-http://dbpedia.org/resource/Category:Tokyo_Shock-http://dbpedia.org/resource/Category:Yakuza_films,na,Ryuhei Kitamura,na,,Japanese,,,,
Satan's School for Girls,http://dbpedia.org/resource/Category:2000_films-http://dbpedia.org/resource/Category:2000_horror_films-http://dbpedia.org/resource/Category:2000_television_films-http://dbpedia.org/resource/Category:American_film_remakes-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_horror_television_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_about_witchcraft-http://dbpedia.org/resource/Category:Films_produced_by_Aaron_Spelling-http://dbpedia.org/resource/Category:Films_set_in_schools-http://dbpedia.org/resource/Category:Horror_film_remakes-http://dbpedia.org/resource/Category:Television_remakes_of_films,na,na,na,http://dbpedia.org/resource/Robert Berger (producer),English,,,,
Shark Attack 2,http://dbpedia.org/resource/Category:Direct-to-video_sequel_films-http://dbpedia.org/resource/Category:Films_about_shark_attacks-http://dbpedia.org/resource/Category:Films_about_sharks-http://dbpedia.org/resource/Category:Nu_Image_films-http://dbpedia.org/resource/Category:Shark_attacks_in_fiction,na,na,na,,English,,,,
Lost Souls,http://dbpedia.org/resource/Category:2000_directorial_debut_films-http://dbpedia.org/resource/Category:2000_films-http://dbpedia.org/resource/Category:2000_horror_films-http://dbpedia.org/resource/Category:2000s_thriller_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_supernatural_horror_films-http://dbpedia.org/resource/Category:Films_scored_by_Jan_A._P._Kaczmarek-http://dbpedia.org/resource/Category:Films_set_in_New_York_City-http://dbpedia.org/resource/Category:Religious_horror_films,http://dbpedia.org/resource/Mauro_Fiore,Janusz Kamiński,3.135591E7,http://dbpedia.org/resource/Meg Ryan,English,,,,
Ginger Snaps,http://dbpedia.org/resource/Category:2000_drama_films-http://dbpedia.org/resource/Category:2000_films-http://dbpedia.org/resource/Category:2000_horror_films-http://dbpedia.org/resource/Category:2000s_buddy_films-http://dbpedia.org/resource/Category:2000s_coming-of-age_films-http://dbpedia.org/resource/Category:2000s_female_buddy_films-http://dbpedia.org/resource/Category:2000s_feminist_films-http://dbpedia.org/resource/Category:2000s_high_school_films-http://dbpedia.org/resource/Category:2000s_teen_drama_films-http://dbpedia.org/resource/Category:2000s_teen_horror_films-http://dbpedia.org/resource/Category:Artisan_Entertainment_films-http://dbpedia.org/resource/Category:Canadian_body_horror_films-http://dbpedia.org/resource/Category:Canadian_coming-of-age_films-http://dbpedia.org/resource/Category:Canadian_films-http://dbpedia.org/resource/Category:Canadian_werewolf_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_about_sisters-http://dbpedia.org/resource/Category:Films_directed_by_John_Fawcett-http://dbpedia.org/resource/Category:Films_set_in_Canada-http://dbpedia.org/resource/Category:Films_set_in_fictional_populated_places-http://dbpedia.org/resource/Category:Films_shot_in_Toronto-http://dbpedia.org/resource/Category:Ginger_Snaps_films-http://dbpedia.org/resource/Category:Goth_subculture-http://dbpedia.org/resource/Category:Halloween_horror_films-http://dbpedia.org/resource/Category:Horror_drama_films,na,John Fawcett (director),572781.0,http://dbpedia.org/resource/Steve Hoban,English,,,,
